eyy,Load (kN) (N)
0.523817859,434.029269
0.525505859,432.542192
0.527167211,431.2537386
0.529110244,429.9862852
0.531072819,428.5573447
0.533274743,427.138487
0.534842779,426.4905894
0.53645674,424.9358785
0.538475151,423.2337668
0.540402933,421.6755922
0.542225378,420.1938681
0.544354214,418.5096604
0.546238302,416.9918709
0.547871726,415.5952665
0.549919598,413.8390504
0.551946421,412.0714787
0.554111292,410.7132466
0.555817638,409.2467283
0.558133347,407.6186215
0.559661838,405.9148915
0.561498367,404.0682724
0.563957244,401.8842131
0.565544645,399.7404473
0.567682054,397.7324489
0.569577313,395.6804328
0.571816157,393.5584668
0.573798927,391.556705
0.575750635,389.6939207
0.577756071,388.0658138
0.579441383,385.9283353
0.581663465,383.2123113
0.583491485,380.6496836
0.58551079,378.1554739
0.587745291,376.2436273
0.589509155,374.0933209
0.591672753,371.7452324
0.593757673,369.2956324
0.595561357,366.7917317
0.597953241,364.1863701
0.599415298,361.5561389
0.601821554,358.7476546
0.603522497,355.9232157
0.605593528,353.0683586
0.607828836,350.1745724
0.610012676,347.2807862
0.611860641,344.3468003
0.614245332,341.3111824
0.616389636,338.1050643
0.61837339,334.8536328
0.62034086,331.5987619
0.621940288,328.4379823
0.623773473,325.0882694
0.626026736,321.3436236
0.627729265,317.5089438
0.630614951,313.6478732
0.632287944,309.8489572
0.634891232,305.9401317
0.637120581,301.743546
0.638894651,297.5033573
0.641078686,293.2023909
0.642608297,288.6004696
0.645514153,283.8286225
0.650593763,278.7173962
0.653489431,273.5726807
0.656020164,268.3710709
0.659373383,262.0538553
0.66243835,254.468265
0.666446522,244.2721469
